id,name,website,http_status,sso,scim,mfa,soc2,iso27001,error
1password,1Password,https://1password.com,200,True,True,True,True,True,
activecampaign,ActiveCampaign,https://www.activecampaign.com,200,True,False,True,False,False,
adobe-creative-cloud,Adobe Creative Cloud,https://www.adobe.com/creativecloud.html,200,False,False,False,False,False,
adp-workforce-now,ADP Workforce Now,https://www.adp.com,200,True,False,True,False,False,
airtable,Airtable,https://airtable.com,200,True,True,True,True,False,
amazon-web-services-aws,Amazon Web Services (AWS),https://aws.amazon.com,200,True,True,True,False,False,
amplitude,Amplitude,https://amplitude.com,200,True,False,True,False,False,
asana,Asana,https://asana.com,200,True,True,False,False,False,
atlassianconfluence,Atlassian Confluence,https://atlassian.com/software/confluence,200,True,True,True,False,False,
atlassianjira,Atlassian Jira,https://atlassian.com/software/jira,200,True,True,True,False,False,
auth0,Auth0,https://auth0.com,200,True,True,True,False,False,
azure-devops,Azure DevOps,https://azure.microsoft.com/en-us/products/devops,200,True,False,True,False,False,
bamboohr,BambooHR,https://www.bamboohr.com,200,True,False,False,False,False,
basecamp,Basecamp,https://basecamp.com,200,False,False,False,False,False,
bill-com,Bill.com,https://www.bill.com,200,True,False,False,False,False,
bitbucket-cloud,Bitbucket Cloud,https://bitbucket.org,200,True,False,True,True,False,
box,Box,https://box.com,503,False,False,False,False,False,
braze,Braze,https://www.braze.com,200,True,False,True,False,True,
brex,Brex,https://www.brex.com,200,True,False,True,False,False,
calendly,Calendly,https://calendly.com,200,True,False,False,False,False,
canva,Canva,https://canva.com,403,True,False,True,False,False,
circleci,CircleCI,https://circleci.com,200,True,False,False,False,False,
cisco-webex,Cisco Webex,https://webex.com,403,False,False,False,False,False,
citrix-sharefile,Citrix ShareFile,https://www.sharefile.com,200,True,False,True,False,False,
clickup,ClickUp,https://clickup.com,200,True,False,False,True,True,
coursera-for-business,Coursera for Business,https://www.coursera.org/business,200,True,False,True,False,False,
crowdstrike,CrowdStrike,https://www.crowdstrike.com,200,False,False,False,False,False,
databricks,Databricks,https://www.databricks.com,200,True,False,False,False,False,
datadog,Datadog,https://www.datadoghq.com,200,True,False,True,False,False,
deel,Deel,https://www.deel.com,200,True,False,True,False,False,
docker-hub,Docker Hub,https://hub.docker.com,200,True,False,True,False,False,
docusign,DocuSign,https://docusign.com,200,True,False,True,False,True,
dropbox,Dropbox,https://dropbox.com,503,False,False,False,False,False,
egnyte,Egnyte,https://www.egnyte.com,200,True,False,False,False,False,
expensify,Expensify,https://www.expensify.com,403,True,True,True,False,False,
figma,Figma,https://figma.com,200,True,False,True,False,False,
freshdesk,Freshdesk,https://freshdesk.com,200,True,False,True,False,False,
freshservice,Freshservice,https://freshservice.com,200,True,True,True,False,False,
front,Front,https://front.com,200,True,False,True,False,False,
github,GitHub,https://github.com,200,True,False,True,False,False,
gitlab,GitLab,https://about.gitlab.com,200,True,False,False,False,False,
gong,Gong,https://www.gong.io,200,True,False,True,False,False,
googleworkspace,Google Workspace,https://workspace.google.com,200,True,False,False,False,False,
grammarly,Grammarly,https://www.grammarly.com,200,True,False,True,False,False,
