id,name,website,issue_count,issues,auto_status
1password,1Password,https://1password.com,1,site_unreachable,
activecampaign,ActiveCampaign,https://www.activecampaign.com,1,site_unreachable,
adobe-creative-cloud,Adobe Creative Cloud,https://www.adobe.com/creativecloud.html,1,site_unreachable,
airtable,Airtable,https://airtable.com,1,site_unreachable,
amazon-web-services-aws,Amazon Web Services (AWS),https://aws.amazon.com,1,site_unreachable,
amplitude,Amplitude,https://amplitude.com,1,site_unreachable,
asana,Asana,https://asana.com,1,site_unreachable,
atlassianconfluence,Atlassian Confluence,https://atlassian.com/software/confluence,1,site_unreachable,
atlassianjira,Atlassian Jira,https://atlassian.com/software/jira,1,site_unreachable,
auth0,Auth0,https://auth0.com,1,site_unreachable,
bamboohr,BambooHR,https://www.bamboohr.com,1,site_unreachable,
basecamp,Basecamp,https://basecamp.com,1,site_unreachable,
bitbucket-cloud,Bitbucket Cloud,https://bitbucket.org,1,site_unreachable,
box,Box,https://box.com,1,site_unreachable,
braze,Braze,https://www.braze.com,1,site_unreachable,
calendly,Calendly,https://calendly.com,1,site_unreachable,
canva,Canva,https://canva.com,1,site_unreachable,
circleci,CircleCI,https://circleci.com,1,site_unreachable,
cisco-webex,Cisco Webex,https://webex.com,1,site_unreachable,
citrix-sharefile,Citrix ShareFile,https://www.sharefile.com,1,site_unreachable,
clickup,ClickUp,https://clickup.com,1,site_unreachable,
coursera-for-business,Coursera for Business,https://www.coursera.org/business,1,site_unreachable,
crowdstrike,CrowdStrike,https://www.crowdstrike.com,1,site_unreachable,
databricks,Databricks,https://www.databricks.com,1,site_unreachable,
datadog,Datadog,https://www.datadoghq.com,1,site_unreachable,
deel,Deel,https://www.deel.com,1,site_unreachable,
docker-hub,Docker Hub,https://hub.docker.com,1,site_unreachable,
docusign,DocuSign,https://docusign.com,1,site_unreachable,
dropbox,Dropbox,https://dropbox.com,1,site_unreachable,
figma,Figma,https://figma.com,1,site_unreachable,
freshdesk,Freshdesk,https://freshdesk.com,1,site_unreachable,
freshservice,Freshservice,https://freshservice.com,1,site_unreachable,
github,GitHub,https://github.com,1,site_unreachable,
gitlab,GitLab,https://about.gitlab.com,1,site_unreachable,
gong,Gong,https://www.gong.io,1,site_unreachable,
googleworkspace,Google Workspace,https://workspace.google.com,1,site_unreachable,
grammarly,Grammarly,https://www.grammarly.com,1,site_unreachable,
greenhouse,Greenhouse,https://www.greenhouse.io,1,site_unreachable,
gusto,Gusto,https://gusto.com,1,site_unreachable,
hootsuite,Hootsuite,https://www.hootsuite.com,1,site_unreachable,
hubspot,HubSpot,https://hubspot.com,1,site_unreachable,
lark,Lark,https://www.larksuite.com,1,site_unreachable,
linear,Linear,https://linear.app,1,site_unreachable,
linkedin-learning,LinkedIn Learning,https://learning.linkedin.com,1,site_unreachable,
loom,Loom,https://www.loom.com,1,site_unreachable,
marketo,Marketo,https://www.marketo.com,1,site_unreachable,
microsoft-teams,Microsoft Teams,https://www.microsoft.com/en-us/microsoft-teams,1,site_unreachable,
miro,Miro,https://miro.com,1,site_unreachable,
mixpanel,Mixpanel,https://mixpanel.com,1,site_unreachable,
navan,Navan,https://navan.com,1,site_unreachable,
new-relic,New Relic,https://newrelic.com,1,site_unreachable,
notion,Notion,https://notion.so,1,site_unreachable,
outreach,Outreach,https://www.outreach.io,1,site_unreachable,
pagerduty,PagerDuty,https://www.pagerduty.com,1,site_unreachable,
pandadoc,PandaDoc,https://www.pandadoc.com,1,site_unreachable,
pipedrive,Pipedrive,https://www.pipedrive.com,1,site_unreachable,
pluralsight,Pluralsight,https://www.pluralsight.com,1,site_unreachable,
postman,Postman,https://www.postman.com,1,site_unreachable,
qualtrics,Qualtrics,https://www.qualtrics.com,1,site_unreachable,
quickbooks-online,QuickBooks Online,https://quickbooks.intuit.com,1,site_unreachable,
ramp,Ramp,https://ramp.com,1,site_unreachable,
ringcentral,RingCentral,https://www.ringcentral.com,1,site_unreachable,
rippling,Rippling,https://www.rippling.com,1,site_unreachable,
salesforce,Salesforce,https://salesforce.com,1,site_unreachable,
servicenow,ServiceNow,https://www.servicenow.com,1,site_unreachable,
shortcut,Shortcut,https://www.shortcut.com,1,site_unreachable,
slack,Slack,https://slack.com,1,site_unreachable,
smartsheet,Smartsheet,https://smartsheet.com,1,site_unreachable,
snowflake,Snowflake,https://www.snowflake.com,1,site_unreachable,
snyk,Snyk,https://snyk.io,1,site_unreachable,
splunk,Splunk,https://www.splunk.com,1,site_unreachable,
sprout-social,Sprout Social,https://sproutsocial.com,1,site_unreachable,
surveymonkey,SurveyMonkey,https://www.surveymonkey.com,1,site_unreachable,
tableau,Tableau,https://www.tableau.com,1,site_unreachable,
teamviewer,TeamViewer,https://www.teamviewer.com,1,site_unreachable,
trello,Trello,https://trello.com,1,site_unreachable,
twilio,Twilio,https://www.twilio.com,1,site_unreachable,
typeform,Typeform,https://www.typeform.com,1,site_unreachable,
uber-for-business,Uber for Business,https://www.uber.com/business,1,site_unreachable,
udemy-business,Udemy Business,https://business.udemy.com,1,site_unreachable,
workday,Workday,https://www.workday.com,1,site_unreachable,
wrike,Wrike,https://wrike.com,1,site_unreachable,
zapier,Zapier,https://zapier.com,1,site_unreachable,
zendesk,Zendesk,https://zendesk.com,1,site_unreachable,
zoho-crm,Zoho CRM,https://www.zoho.com/crm,1,site_unreachable,
zoominfo,ZoomInfo,https://www.zoominfo.com,1,site_unreachable,
zscaler,Zscaler,https://www.zscaler.com,1,site_unreachable,
monday-com,monday.com,https://monday.com,1,site_unreachable,
adp-workforce-now,ADP Workforce Now,https://www.adp.com,0,,200
azure-devops,Azure DevOps,https://azure.microsoft.com/en-us/products/devops,0,,200
bill-com,Bill.com,https://www.bill.com,0,,200
brex,Brex,https://www.brex.com,0,,200
egnyte,Egnyte,https://www.egnyte.com,0,,200
expensify,Expensify,https://www.expensify.com,0,,403
front,Front,https://front.com,0,,200
intercom,Intercom,https://intercom.com,0,,200
lastpass,LastPass,https://www.lastpass.com,0,,200
lucidchart,Lucidchart,https://www.lucidchart.com,0,,200
mailchimp,Mailchimp,https://mailchimp.com,0,,200
microsoft365,Microsoft 365,https://microsoft365.com,0,,200
mural,Mural,https://www.mural.co,0,,200
netsuite,NetSuite,https://www.netsuite.com,0,,403
sap-concur,SAP Concur,https://www.concur.com,0,,200
shopify,Shopify,https://www.shopify.com,0,,200
stripe,Stripe,https://stripe.com,0,,200
xero,Xero,https://www.xero.com,0,,200
zoom,Zoom,https://zoom.us,0,,200
